(63859, 46863, 43695, 3500)
(63588, 46486, 43621, 3500)
(63317, 46108, 43547, 3500)
(63035, 45715, 43470, 3500)
(62764, 45338, 43395, 3500)
(62485, 44948, 43319, 3500)
(62217, 44575, 43245, 3500)
(61937, 44186, 43169, 3500)
(61658, 43796, 43093, 3500)
(61384, 43415, 43018, 3500)
(61111, 43034, 42943, 3500)
(60837, 42652, 42868, 3500)
(60566, 42275, 42794, 3500)
(60284, 41882, 42716, 3500)
(60008, 41496, 42641, 3500)
(59737, 41119, 42567, 3500)
(59463, 40737, 42492, 3500)
(59189, 40356, 42417, 3500)
(58907, 39963, 42339, 3500)
(58634, 39581, 42265, 3500)
(58360, 39200, 42190, 3500)
(58089, 38822, 42115, 3500)
(57810, 38433, 42039, 3500)
(57539, 38056, 41965, 3500)
(57257, 37663, 41888, 3500)
(56986, 37285, 41813, 3500)
(56709, 36900, 41738, 3500)
(56438, 36522, 41664, 3500)
(56165, 36141, 41589, 3500)
(55891, 35759, 41514, 3500)
(55335, 34985, 41361, 3500)
(55229, 34836, 41243, 3500)
(55562, 35300, 41155, 3500)
(55736, 35542, 41109, 3500)
(55905, 35776, 41065, 3500)
(56075, 36013, 41020, 3500)
(56242, 36245, 40976, 3500)
(56409, 36478, 40932, 3500)
(56583, 36719, 40886, 3500)
(56752, 36954, 40842, 3500)
(56919, 37186, 40798, 3500)
(57087, 37421, 40754, 3500)
(57259, 37660, 40709, 3500)
(57428, 37895, 40664, 3500)
(57597, 38129, 40620, 3500)
(57765, 38364, 40576, 3500)
(57934, 38599, 40531, 3500)
(58108, 38840, 40486, 3500)
(58275, 39072, 40442, 3500)
(58445, 39309, 40397, 3500)
(58614, 39544, 40352, 3500)
(58782, 39779, 40308, 3500)
(58956, 40020, 40262, 3500)
(59123, 40253, 40219, 3500)
(59290, 40485, 40175, 3500)
(59464, 40726, 40129, 3500)
(59632, 40961, 40085, 3500)
(59801, 41196, 40040, 3500)
(60138, 41665, 39951, 3500)
(60310, 41904, 39906, 3500)
(60479, 42139, 39862, 3500)
(60646, 42371, 39818, 3500)
(60815, 42606, 39774, 3500)
(60988, 42847, 39728, 3500)
(61157, 43082, 39684, 3500)
(61324, 43314, 39640, 3500)
(61494, 43551, 39595, 3500)
(61668, 43793, 39549, 3500)
(61837, 44027, 39505, 3500)
(62004, 44260, 39461, 3500)
(62174, 44497, 39416, 3500)
(62341, 44729, 39372, 3500)
(62510, 44963, 39328, 3500)
(62682, 45203, 39283, 3500)
(62849, 45435, 39239, 3500)
(63021, 45674, 39193, 3500)
(63191, 45911, 39149, 3500)
(63361, 46148, 39104, 3500)
(63530, 46383, 39060, 3500)
(63697, 46615, 39016, 3500)
(63869, 46854, 38970, 3500)
(64036, 47087, 38926, 3500)
(64208, 47326, 38881, 3500)
(64379, 47563, 38836, 3500)
(64545, 47795, 38792, 3500)
(64718, 48034, 38747, 3500)
(64884, 48267, 38703, 3500)
(65057, 48506, 38658, 3500)
(65223, 48738, 38614, 3500)
(65396, 48977, 38569, 3500)
(26, 49207, 38525, 3500)
(198, 49447, 38480, 3500)
(368, 49684, 38435, 3500)
(535, 49916, 38392, 3500)
(706, 50153, 38347, 3500)
(878, 50392, 38301, 3500)
